央视IPV4,#genre#
CCTV17,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575303.m3u8
CCTV4K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575203.m3u8
CCTV8K,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2020603421.m3u8
CCTV兵器科技,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513403.m3u8
CCTV第一剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514403.m3u8
CCTV怀旧剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012511203.m3u8
CCTV风云剧场,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513603.m3u8
CCTV风云音乐,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514103.m3u8
CCTV风云足球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514203.m3u8
CCTV电视指南,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012514003.m3u8
CCTV女性时尚,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513903.m3u8
CCTV央视文化精品,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513803.m3u8
CCTV世界地理,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513303.m3u8
CCTV高尔夫网球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012512503.m3u8
CCTV央视台球,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513703.m3u8
CCTV卫生健康,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2012513503.m3u8
CGTN,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575001.m3u8
CGTN纪录,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574703.m3u8
CGTN西语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022571703.m3u8
CGTN法语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574903.m3u8
CGTN阿语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574603.m3u8
CGTN俄语,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574803.m3u8
中国教育1,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2022823801.m3u8
北京卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000272103.m3u8
东方卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292403.m3u8
天津卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927003.m3u8
重庆卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000297803.m3u8
黑龙江卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293903.m3u8
辽宁卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000281303.m3u8
河北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293403.m3u8
山东卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294803.m3u8
安徽卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000298003.m3u8
河南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296103.m3u8
湖北卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294503.m3u8
湖南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000296203.m3u8
江西卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294103.m3u8
江苏卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295603.m3u8
浙江卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295503.m3u8
东南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292503.m3u8
广东卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292703.m3u8
深圳卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000292203.m3u8
广西卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000294203.m3u8
贵州卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000293303.m3u8
四川卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000295003.m3u8
新疆卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2019927403.m3u8
海南卫视,http://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2000291503.m3u8
兵团卫视,http://183.204.13.13/1.v.smtcdns.net/mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
🦄央视频线路②🔥,#genre#
CCTV1,http://111.230.30.193/php/lyd.php?id=6559
CCTV2,http://111.230.30.193/php/lyd.php?id=6540
CCTV3,http://111.230.30.193/php/lyd.php?id=6021
CCTV4,http://111.230.30.193/php/lyd.php?id=6428
CCTV5,http://111.230.30.193/php/lyd.php?id=6469
CCTV5+,http://111.230.30.193/php/lyd.php?id=5603
CCTV6,http://111.230.30.193/php/lyd.php?id=6010
CCTV7,http://111.230.30.193/php/lyd.php?id=5733
CCTV8,http://111.230.30.193/php/lyd.php?id=6008
CCTV9,http://111.230.30.193/php/lyd.php?id=5734
CCTV10,http://111.230.30.193/php/lyd.php?id=6473
CCTV11,http://111.230.30.193/php/lyd.php?id=6565
CCTV12,http://111.230.30.193/php/lyd.php?id=6568
CCTV13,http://111.230.30.193/php/lyd.php?id=6571
CCTV14,http://111.230.30.193/php/lyd.php?id=6591
CCTV15,http://111.230.30.193/php/lyd.php?id=6476
CCTV16,http://111.230.30.193/php/lyd.php?id=6100
CCTV17,http://111.230.30.193/php/lyd.php?id=5765
安徽卫视,http://111.230.30.193/php/lyd.php?id=6391
北京卫视,http://111.230.30.193/php/lyd.php?id=6450
东方卫视,http://111.230.30.193/php/lyd.php?id=6345
东南卫视,http://111.230.30.193/php/lyd.php?id=6341
广东卫视,http://111.230.30.193/php/lyd.php?id=6248
广西卫视,http://111.230.30.193/php/lyd.php?id=6549
贵州卫视,http://111.230.30.193/php/lyd.php?id=6474
海南卫视,http://111.230.30.193/php/lyd.php?id=6465
河南卫视,http://111.230.30.193/php/lyd.php?id=6480
湖北卫视,http://111.230.30.193/php/lyd.php?id=6477
湖南卫视,http://111.230.30.193/php/lyd.php?id=6307
吉林卫视,http://111.230.30.193/php/lyd.php?id=6397
江苏卫视,http://111.230.30.193/php/lyd.php?id=6310
江西卫视,http://111.230.30.193/php/lyd.php?id=6344
辽宁卫视,http://111.230.30.193/php/lyd.php?id=6546
山东卫视,http://111.230.30.193/php/lyd.php?id=6456
深圳卫视,http://111.230.30.193/php/lyd.php?id=6313
四川卫视,http://111.230.30.193/php/lyd.php?id=6338
天津卫视,http://111.230.30.193/php/lyd.php?id=6459
浙江卫视,http://111.230.30.193/php/lyd.php?id=6339
重庆卫视,http://111.230.30.193/php/lyd.php?id=6409
大湾区卫视,http://111.230.30.193/php/lyd.php?id=6442
甘肃卫视,http://111.230.30.193/php/lyd.php?id=5633
贵州卫视,http://111.230.30.193/php/lyd.php?id=5626
康巴卫视,http://111.230.30.193/php/lyd.php?id=5660
内蒙古卫视,http://111.230.30.193/php/lyd.php?id=5634
宁夏卫视,http://111.230.30.193/php/lyd.php?id=6454
青海卫视,http://111.230.30.193/php/lyd.php?id=6323
山西卫视,http://111.230.30.193/php/lyd.php?id=5624
陕西卫视,http://111.230.30.193/php/lyd.php?id=5625
西藏卫视,http://111.230.30.193/php/lyd.php?id=6433
新疆卫视,http://111.230.30.193/php/lyd.php?id=5635
延边卫视,http://111.230.30.193/php/lyd.php?id=6516
北京纪实科教,http://111.230.30.193/php/lyd.php?id=5729
上海纪实人文,http://111.230.30.193/php/lyd.php?id=5738
山东教育卫视,http://111.230.30.193/php/lyd.php?id=5655
凤凰资讯,http://playTVlive.ifeng.com/live/06OLEEWQKN4.m3u8
CETV1,http://111.230.30.193/php/lyd.php?id=5652
CETV2,http://111.230.30.193/php/lyd.php?id=6425




//央视频
CCTV-1 综合,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576802.m3u8
CCTV-2 财经,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576702.m3u8
CCTV-3 综艺,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576502.m3u8
CCTV-4 中文国际,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576602.m3u8
CCTV-5 体育,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576402.m3u8
CCTV-6 电影,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022574302.m3u8
CCTV-7 国防军事,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576203.m3u8
CCTV-8 电视剧,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576102.m3u8
CCTV-9 纪录,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022576002.m3u8
CCTV-10 科教,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022573002.m3u8
CCTV-11 戏曲,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575902.m3u8
CCTV-12 社会与法,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575802.m3u8
CCTV-13 新闻,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575702.m3u8
CCTV-14 少儿,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575602.m3u8
CCTV-15 音乐,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575502.m3u8
CCTV-16 奥林匹克,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575402.m3u8
CCTV-17 农业农村,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2022575302.m3u8

世界地理,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513302.m3u8
文化精品,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513802.m3u8
卫生健康,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513502.m3u8
兵器科技,http://140.249.29.31/tlive-test-cdn.ysp.cctv.cn/ysp/2012513402.m3u8
凤凰卫视,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8

//黑龙江移动
CCTV-1 综合,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-2 财经,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8
CCTV-3 综艺,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226021/index.m3u8
CCTV-4 中文国际,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226007/index.m3u8
CCTV-5 体育,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226019/index.m3u8
CCTV-6 电影,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226010/index.m3u8
CCTV-7 国防军事,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225733/index.m3u8
CCTV-8 电视剧,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9 纪录,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8
CCTV-10 科教,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225730/index.m3u8
CCTV-11 戏曲,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225597/index.m3u8
CCTV-12 社会与法,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8
CCTV-13 新闻,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226011/index.m3u8
CCTV-14 少儿,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225732/index.m3u8
CCTV-15 音乐,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林匹克,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226100/index.m3u8
CCTV-17 农业农村,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225765/index.m3u8







//海南移动
CCTV-1 综合,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010011/1.m3u8
CCTV-1 综合,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010144/1.m3u8
CCTV-2 财经,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8
CCTV-3 综艺,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8
CCTV-4 中文国际,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8
CCTV-5 体育,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010078/1.m3u8
CCTV-5 体育,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010139/1.m3u8
CCTV-5 体育,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010145/1.m3u8
CCTV-6 电影,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010214/1.m3u8
CCTV-7 国防军事,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010215/1.m3u8
CCTV-8 电视剧,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010216/1.m3u8
CCTV-9 纪录,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010217/1.m3u8
CCTV-9 纪录,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010052/1.m3u8
CCTV-10 科教,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010203/1.m3u8
CCTV-11 戏曲,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010092/1.m3u8
CCTV-12 社会与法,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010205/1.m3u8
CCTV-13 新闻,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010093/1.m3u8
CCTV-14 少儿,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010207/1.m3u8
CCTV-15 音乐,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010094/1.m3u8
CCTV-16 奥林匹克,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV-17 农业农村,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010210/1.m3u8









世界地理,http://59.173.132.230:8880/rtp/239.69.1.91:10186
世界地理,http://wyhawk.x3322.net:8888/udp/238.1.79.60:4616
世界地理,http://220.178.185.92:4022/rtp/238.1.79.60:4616
世界地理,http://221.205.200.8:8083/rtp/226.0.2.222:9688
世界地理,http://221.205.200.8:8085/rtp/226.0.2.222:9688
精品纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8
文物宝库,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638078a346161/index.m3u8?AuthInfo=toEYVdLfxymUP2l9NZpQI5%2BK6T7j%2FlRm%2BvbM9VO7bA199v9hZiIrZ%2B5X675R6%2FGDjgcqn5UaJ6D814KM9%2FvF7QwvFfeEXMAK7LltfEC%2FKQQ

文化精品,http://220.178.185.92:4022/rtp/238.1.79.54:4568
文化精品,http://221.205.200.8:8085/rtp/226.0.2.219:9664
文化精品,http://221.205.200.8:8083/rtp/226.0.2.219:9664
文化精品,http://wyhawk.x3322.net:8888/udp/238.1.79.54:4568
文化精品,https://epg.pw/stream/0cb320bae056b5b7d5f0071f6608965f60fbeccd6130cb95a3b56b19cdf4ce16.ctv

卫生健康,http://ahz1.e3.luyouxia.net:13300/100.php?id=2235/00032.m3u8
卫生健康,https://epg.pw/stream/fc90a505bbcefc5a9c91e5dc5e12f5b0d6f76ac5f86b55a33ee724051af2d385.ctv

兵器科技,http://59.173.132.230:8880/rtp/239.69.1.79:10114
兵器科技,http://wyhawk.x3322.net:8888/udp/238.1.79.56:4584
兵器科技,http://110.253.152.47:8888/rtp/239.253.93.47:6435
兵器科技,http://220.178.185.92:4022/rtp/238.1.79.56:4584
兵器科技,http://221.205.200.8:8083/rtp/226.0.2.223:9696
兵器科技,http://221.205.200.8:8085/rtp/226.0.2.223:9696
军事评论,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225668/index.m3u8

凤凰卫视,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视,https://epg.pw/stream/d9c119544f1760041bb610b865e55c930f22cebfd36d420ed6811757be416936.ctv

凤凰卫视,http://113.64.145.121:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.91:8081/hls/37/index.m3u8



超级综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
金牌综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225666/index.m3u8
香港文旅,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8


家庭剧场,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8
明星大片,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8
精品大剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8



世界地理,http://60.220.167.77:8085/rtp/226.0.2.222:9688
世界地理,http://60.220.167.77:8083/rtp/226.0.2.222:9688
兵器科技,http://219.140.133.164:8887/rtp/239.69.1.79:10114
兵器科技,http://61.240.37.114:8085/rtp/226.0.2.223:9696
兵器科技,http://60.220.167.77:8085/rtp/226.0.2.223:9696
卫生健康,https://epg.pw/stream/279b627b16fec80eb7f168a082f7ed6d0d03162e45aeaec2a68b205ebf7ef8c7.ctv




港·澳·台,#genre#


凤凰卫视,https://epg.pw/stream/d9c119544f1760041bb610b865e55c930f22cebfd36d420ed6811757be416936.ctv
凤凰卫视,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视,http://113.64.145.121:8081/hls/37/index.m3u8
凤凰卫视,http://113.64.145.91:8081/hls/37/index.m3u8

凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰香港,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv
凤凰资讯,http://113.64.145.121:8081/hls/36/index.m3u8
凤凰卫视,http://113.64.145.121:8081/hls/37/index.m3u8
凤凰香港,http://113.64.145.121:8081/hls/38/index.m3u8
凤凰资讯,http://113.64.145.91:8081/hls/36/index.m3u8
凤凰卫视,http://113.64.145.91:8081/hls/37/index.m3u8
凤凰香港,http://113.64.145.91:8081/hls/38/index.m3u8

凤凰资讯,http://223.71.206.22:30080/HK/fhzx/hls.m3u8
凤凰香港,http://223.71.206.22:30080/HK/fhxg/hls.m3u8


凤凰资讯,mitv://generationnexxxt.com:19806/6684e9f6606f49fba9b6de846dbdcb64
凤凰香港,mitv://generationnexxxt.com:19806/8e396c3ec52f4eee9e5b7868042b1bf2


凤凰资讯,http://112.19.171.156:9999/udp/239.93.0.118:2191


凤凰卫视,mitv://generationnexxxt.com:19806/65fd687c000dccf1362379174a9617fc
凤凰资讯,mitv://generationnexxxt.com:19806/65fd6d04000e7c8036352c8637e97c89

凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8

凤凰资讯,http://ali.hlspull.yximgs.com/live/huanqiuhklivetvjjpcpdvuejljyjjyfjoxvchjwhjwojjjhdjjlsjhbjfhjx.flv


香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港文旅,http://ali-play.lezhibo.com/lezhibo/6ad788f1bbab4c689ecdc0d64a1e1601.m3u8
翡翠台,http://r.jdshipin.com/n90gt
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
翡翠台,mitv://generationnexxxt.com:19806/65f96ab8000ca1d1268c26e426ae6c37
翡翠台,mitv://147.135.39.171:9906/65e067d500071b152f5b108a3f5b16fb

明珠台,mitv://generationnexxxt.com:19806/fd4c4431a2204a20b5c7c67698592912

J2台,mitv://generationnexxxt.com:19806/6a623cf5c0bc4c96b8fd45a47af4a872
J2台,mitv://generationnexxxt.com:19806/6a623cf5c0bc4c96b8fd45a47af4a872
香港国际财经台,mitv://generationnexxxt.com:19806/6aa47af091b54d618d1513b1bc23b0b9
香港国际财经台,mitv://generationnexxxt.com:19806/f3cb31dde1e040a4a30f89e8f95beea7

民视,mitv://generationnexxxt.com:19806/7b662823ed634f1fad66ab442b177118
台视,mitv://generationnexxxt.com:19806/9868c18e3c0940cd8aa003d9ae54f862
中视,mitv://generationnexxxt.com:19806/27826c4ed7234c0d8759bc7fe6786a18
华视,mitv://generationnexxxt.com:19806/761bc3c0662247d18b0db4da8070b7f4
公视,mitv://generationnexxxt.com:19806/5bc9388122b840f1abd2ff73c85049a6

民视,mitv://generationnexxxt.com:19806/07d108fdb6f543de8226d05f281225e2
台视,mitv://generationnexxxt.com:19806/3c20d4387ec845149b2ded5f28805f18
中视,mitv://generationnexxxt.com:19806/c4ede9c3d1a84d0b9afe57622abcb9e7
华视,mitv://generationnexxxt.com:19806/177390ae66634acca9be01242a769660
台视财经台,mitv://generationnexxxt.com:19806/e01d7738e33e456a812f7cefbf27b29a

澳门莲花,mitv://generationnexxxt.com:19806/4c56fbe4e68541a9a759fa269574f98b








央视备用IPV6,#genre#

//湖北移动
CCTV-1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y
CCTV-2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI
CCTV-3,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN638727c125355/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSPTZ4CK5oLfjaEYe9dogNMUNNEYLCPUtKY62j1Wp5u04wipypKUQ1TTuR2lXvBl5YpHqBJmlA19x22TD9bUOjk
CCTV-4,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000037BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfH0ZQXwaiVktPr6ILPKXqwOUC2ZXft7ZULN6h9qLQPFOTSlVTfophiKaMb8h1kPV74
